description,crop,status,disease,recommended_pesticide
rapid Leaves become thin and sparse. rapid Tiny dark specks appear with pale centers.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Visual check indicates: rapid New leaves become infected almost overnight. extensive Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray
sporadic Spots are more prominent under humid conditions. clear Leaves show circular or irregular necrotic areas.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer complains: sudden Overall plant appears dwarfed. visible Young leaves curl upward and turn yellow.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: notable Small dark spots develop with concentric rings. sporadic Dark spots sometimes appear on stems.,Potato,Unhealthy,Early_blight,Neem oil
extensive Leaves become thin and sparse.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Field observation shows: rapid Fruits develop evenly with no blemishes. notable No sign of curling or wilting.,Tomato,Healthy,healthy,None
"Farmer reports: notable White mold may appear on leaf undersides. clear Cool, moist weather promotes rapid spread. extensive Edges of lesions look water-soaked.",Tomato,Unhealthy,Late_blight,Neem oil
"Farmer complains: severe Stems may show sunken brown streaks. visible Fruits develop sunken, leathery patches. visible Dark concentric rings form on lower leaves.",Tomato,Unhealthy,Early_blight,Horticultural oil
Farmer complains: sudden Older leaves are the first to show symptoms.,Potato,Unhealthy,Early_blight,Neem oil
Inspection reveals: extensive Plant vigor declines noticeably. extensive Fine yellow dust may be visible on foliage.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
"Agronomist notes: rapid Warm, wet weather increases disease spread. sudden Lower leaves drop prematurely.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
visible Disease thrives in high humidity and poor airflow.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer complains: rapid Leaves yellow around brown lesions. extensive Small dark spots develop with concentric rings. notable Older leaves are the first to show symptoms.,Potato,Unhealthy,Early_blight,Neem oil
Field observation shows: rapid Leaves display mottled light and dark green patches. visible Growth appears stunted and twisted.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Field observation shows: sudden Yellow halos surround each small lesion. severe Growth appears patchy across the field. moderate Spots increase rapidly in wet conditions.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
"Inspection reveals: notable Mites thrive in hot, dry conditions.",Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Inspection reveals: sudden Bacterial ooze may be visible under moist conditions. sporadic Leaves develop yellow halos around spots.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Field observation shows: severe Leaf edges remain intact and smooth. notable Stems are firm and unblemished. clear Plants show no signs of stress or pests.,Potato,Healthy,healthy,None
Visual check indicates: severe Overall growth is steady and balanced. severe Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,None
clear Fruits develop firm dark lesions with greasy texture. clear Fruit rot occurs quickly after infection.,Tomato,Unhealthy,Late_blight,Neem oil
moderate Stems remain largely unaffected. sudden Spots increase rapidly in wet conditions. severe Spots remain less than ⅛ inch in diameter.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer complains: sporadic Lower leaves are affected first. extensive Edges of leaves become brown and dry.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Inspection reveals: sudden No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,None
Visual check indicates: sporadic Blight odor is noticeable in severe infections. severe White fungal growth may appear under humid conditions. sudden Large brown blotches develop rapidly on leaves.,Potato,Unhealthy,Late_blight,Sulfur spray
Inspection reveals: moderate Spots enlarge and develop yellow halos.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
"extensive Warm, wet weather increases disease spread. slight Leaf edges turn brown and crack.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Farmer reports: sporadic No sign of curling or wilting.,Tomato,Healthy,healthy,None
Agronomist notes: severe Leaflets may become fern-like and narrow. rapid Fruits develop uneven ripening.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Field observation shows: sudden Severe infections reduce fruit yield. sudden Yellow halos surround each small lesion. sporadic Spots remain less than ⅛ inch in diameter.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer reports: extensive Infestation begins on lower leaves.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Farmer reports: clear Leaves are lush green with no visible spots.,Potato,Healthy,healthy,None
Farmer reports: notable Surfaces remain free of lesions or mold. slight Leaves look vibrant green with a smooth texture. sporadic Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,None
Visual check indicates: moderate Disease thrives in high humidity and poor airflow. extensive Leaves develop a musty odor.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
According to the grower: moderate Disease thrives in high humidity and poor airflow.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer complains: clear Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
"Farmer complains: sporadic Warm, wet weather increases disease spread.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Field observation shows: extensive Plant vigor declines noticeably. rapid Leaves appear stippled with pale spots.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Farmer complains: visible Overall plant vigor decreases. moderate Growth appears stunted and twisted. notable Flower formation may be reduced.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
"Farmer complains: slight Lower leaves drop prematurely. severe Infected fruit shows raised, scabby lesions.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Field observation shows: notable Young leaves curl upward and turn yellow.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Field observation shows: clear Overall growth appears stunted.,Tomato,Unhealthy,Early_blight,Horticultural oil
Visual check indicates: slight Lower leaves drop prematurely. moderate Spots sometimes merge into larger dead areas. sudden Bacterial ooze may be visible under moist conditions.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
According to the grower: notable Undersides develop fuzzy white or olive mold. notable Plant growth slows noticeably.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
notable Blight odor is noticeable in severe infections. extensive Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray
Farmer reports: notable Older leaves are the first to show symptoms. rapid Affected plants exhibit reduced tuber size.,Potato,Unhealthy,Early_blight,Neem oil
clear Leaves appear stippled with pale spots. severe Infestation begins on lower leaves.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Field observation shows: visible Undersides develop fuzzy white or olive mold. notable Fruit development may be reduced.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
clear White fungal growth may appear under humid conditions. severe Leaves become limp and collapse suddenly. extensive Large brown blotches develop rapidly on leaves.,Potato,Unhealthy,Late_blight,Sulfur spray
extensive Small dark spots develop with concentric rings.,Potato,Unhealthy,Early_blight,Neem oil
extensive Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil
extensive Leaflets may become fern-like and narrow. rapid Symptoms worsen under high light conditions. sudden Leaves display mottled light and dark green patches.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Inspection reveals: severe Whole plants may wilt overnight. visible Stems turn brown and brittle. clear Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil
Field observation shows: notable Veins become thick and prominent.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer reports: sporadic Spots remain less than ⅛ inch in diameter.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer reports: severe Yellow patches appear on upper leaf surfaces.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Inspection reveals: clear Lower leaves drop prematurely under stress. notable Severe cases cause significant leaf loss.,Potato,Unhealthy,Early_blight,Neem oil
"Inspection reveals: rapid Dark concentric rings form on lower leaves. clear Fruits develop sunken, leathery patches.",Tomato,Unhealthy,Early_blight,Horticultural oil
Agronomist notes: moderate Fine yellow dust may be visible on foliage.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Inspection reveals: notable Spots are more prominent under humid conditions. notable Leaves look scorched or burnt at the edges.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
notable Stems appear firm and upright. notable Fruits develop bright color and firm walls. slight Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,None
Visual check indicates: rapid Plant vigor decreases over time.,Tomato,Unhealthy,Early_blight,Horticultural oil
According to the grower: moderate Overall appearance is robust and lush. moderate Stems appear firm and upright.,Pepper_bell,Healthy,healthy,None
"rapid Warm, wet weather increases disease spread.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
"extensive Leaf surfaces feel dry and rough. sudden Mites thrive in hot, dry conditions. notable Leaves turn bronze and curl under.",Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
visible Edges of lesions appear water-soaked and greasy. sporadic New leaves become infected almost overnight. moderate Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray
According to the grower: visible Leaves curl and become brittle. moderate Edges of leaves become brown and dry. rapid Leaves develop a musty odor.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer complains: extensive Leaves appear stippled with pale spots. sudden Infestation begins on lower leaves. sudden Fruit development may be stunted.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Visual check indicates: sudden Fruit production decreases sharply. rapid Growth becomes stunted and bushy.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Field observation shows: visible Growth appears stunted and twisted.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
According to the grower: severe Fruit development may be stunted.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Agronomist notes: visible Overall plant appears dwarfed. severe Young leaves curl upward and turn yellow.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
moderate Spots remain less than ⅛ inch in diameter. slight Plants look generally stressed. extensive Yellow halos surround each small lesion.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
"According to the grower: moderate Leaves become limp and collapse suddenly. clear Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: notable Leaves develop a musty odor.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Inspection reveals: sudden Small dark lesions appear on the lower leaves. clear Spots are more prominent under humid conditions.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
rapid Spots remain less than ⅛ inch in diameter. moderate Plants look generally stressed. visible Tiny dark specks appear with pale centers.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Field observation shows: rapid Leaves appear stippled with pale spots. sudden Webbing may be visible between leaves and stems. sporadic Plant vigor declines noticeably.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Inspection reveals: sudden Small dark lesions appear on the lower leaves.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Field observation shows: extensive Spots may merge into larger dead zones. extensive Warm weather accelerates disease spread. moderate Infected fruit appears pitted and rough.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Visual check indicates: visible Leaves look vibrant green with a smooth texture. severe Overall appearance is robust and lush.,Pepper_bell,Healthy,healthy,None
"According to the grower: visible Fruits develop sunken, leathery patches. moderate Yellowing appears around brown lesions. clear Leaves drop prematurely under stress.",Tomato,Unhealthy,Early_blight,Horticultural oil
Field observation shows: moderate Young leaves curl upward and turn yellow.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
"According to the grower: moderate Bacterial ooze may be visible under moist conditions. clear Infected fruit shows raised, scabby lesions. slight Leaf edges turn brown and crack.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
extensive Older leaves show symptoms first.,Tomato,Unhealthy,Early_blight,Horticultural oil
Agronomist notes: sporadic No signs of wilting or discoloration. sporadic Leaf edges remain intact and smooth.,Potato,Healthy,healthy,None
Field observation shows: severe No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,None
Field observation shows: rapid Warm weather accelerates disease spread. severe Lesions become raised and scabby on fruit.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
sudden Foliage appears scorched and curled. extensive Severe cases cause significant leaf loss.,Potato,Unhealthy,Early_blight,Neem oil
visible Growth appears stunted with patchy foliage. sudden The affected areas appear sunken and dry. extensive Spots develop yellow halos as they expand.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer reports: moderate Plants look generally stressed. slight Spots remain less than ⅛ inch in diameter. slight Growth appears patchy across the field.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Inspection reveals: extensive Lesions become raised and scabby on fruit. notable Warm weather accelerates disease spread.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Farmer reports: extensive Large irregular brown patches appear on leaves. notable Fruit rot occurs quickly after infection.,Tomato,Unhealthy,Late_blight,Neem oil
According to the grower: visible Growth becomes stunted and bushy. rapid Fruit production decreases sharply.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
severe Leaflets may become fern-like and narrow. clear Leaves display mottled light and dark green patches. sudden Overall plant vigor decreases.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Inspection reveals: moderate Spots are more prominent under humid conditions. sporadic The affected areas appear sunken and dry.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Visual check indicates: notable Stems appear firm and upright.,Pepper_bell,Healthy,healthy,None
Field observation shows: notable Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: rapid Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray
Field observation shows: extensive Brown patches coalesce into larger necrotic areas.,Potato,Unhealthy,Early_blight,Neem oil
According to the grower: clear Dark spots sometimes appear on stems. severe Leaves yellow around brown lesions. rapid Affected plants exhibit reduced tuber size.,Potato,Unhealthy,Early_blight,Neem oil
Inspection reveals: slight Flowers often drop without fruit setting. slight Veins become thick and prominent.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
"visible Infected tubers show dark, firm patches beneath the skin. severe Lesions spread quickly under cool, wet weather. severe Edges of lesions appear water-soaked and greasy.",Potato,Unhealthy,Late_blight,Sulfur spray
"Visual check indicates: sudden Cool, moist weather promotes rapid spread. visible Large irregular brown patches appear on leaves. clear Leaves collapse suddenly without warning.",Tomato,Unhealthy,Late_blight,Neem oil
"Farmer complains: severe Older leaves show symptoms first. rapid Plant vigor decreases over time. notable Spots expand during warm, humid weather.",Tomato,Unhealthy,Early_blight,Horticultural oil
Field observation shows: visible Small dark lesions appear on the lower leaves.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer reports: moderate Tiny dark specks appear on young leaves. extensive Lesions become raised and scabby on fruit.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Farmer reports: rapid Blight odor is noticeable in severe infections. severe White fungal growth may appear under humid conditions.,Potato,Unhealthy,Late_blight,Sulfur spray
"Inspection reveals: sudden White mold may appear on leaf undersides. clear Cool, moist weather promotes rapid spread. visible Large irregular brown patches appear on leaves.",Tomato,Unhealthy,Late_blight,Neem oil
Farmer reports: clear No visible blemishes on leaves or stems. rapid Leaves look vibrant green with a smooth texture. severe Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,None
slight Spots remain less than ⅛ inch in diameter.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
"Agronomist notes: moderate Infected fruit shows raised, scabby lesions.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
According to the grower: rapid Flowers appear healthy and plentiful. moderate Overall growth is steady and balanced.,Tomato,Healthy,healthy,None
Farmer reports: sudden Internodes shorten dramatically. visible Leaf edges show bright yellow coloring. sporadic Overall plant appears dwarfed.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
notable Stems turn brown and brittle. severe Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil
Farmer complains: notable Tiny dark specks appear on young leaves. clear Plant growth becomes stunted and uneven.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
severe Older leaves are the first to show symptoms. visible Foliage appears scorched and curled.,Potato,Unhealthy,Early_blight,Neem oil
Inspection reveals: sudden Leaves develop a musty odor.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
"Farmer complains: sporadic Affected plants exhibit reduced tuber size. clear Lesions enlarge during warm, humid weather.",Potato,Unhealthy,Early_blight,Neem oil
Agronomist notes: clear Growth appears patchy across the field. extensive Leaves become thin and sparse. rapid Spots remain less than ⅛ inch in diameter.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Agronomist notes: severe Flowers often drop without fruit setting. extensive Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
notable Stems turn brown and brittle. sporadic Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil
Inspection reveals: moderate Leaves look lush green with a glossy surface. moderate No spots or discoloration on leaves. extensive Stems remain firm and robust.,Tomato,Healthy,healthy,None
Agronomist notes: sporadic Yellow patches appear on upper leaf surfaces. extensive Lesions merge into large yellow areas.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer reports: sporadic Leaves become thin and sparse.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer complains: slight Whole fields can appear scorched and dead. notable New leaves become infected almost overnight. clear Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: sudden Spots develop yellow halos as they expand. visible Fruits show dark specks near the stem end. severe Spots are more prominent under humid conditions.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Visual check indicates: clear Leaves look lush green with a glossy surface. slight Overall growth is steady and balanced. moderate Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,None
According to the grower: severe Leaves become thin and sparse. rapid Stems remain largely unaffected.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer complains: notable Overall growth appears stunted.,Tomato,Unhealthy,Early_blight,Horticultural oil
Inspection reveals: extensive Leaves turn bronze and curl under. sporadic Fruit development may be stunted. sporadic Fine yellow dust may be visible on foliage.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Field observation shows: severe Leaf edges become ragged and torn. visible Brown streaks may appear on stems. moderate Tiny dark specks appear on young leaves.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
extensive Fruit set appears normal and healthy. visible Overall appearance is robust and lush. sporadic Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,None
Visual check indicates: visible Fruit set appears normal and healthy. visible Fruits develop bright color and firm walls. sudden No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,None
"Inspection reveals: severe Plant vigor decreases over time. clear Spots expand during warm, humid weather. slight Yellowing appears around brown lesions.",Tomato,Unhealthy,Early_blight,Horticultural oil
Farmer complains: moderate Spots remain less than ⅛ inch in diameter. clear Yellow halos surround each small lesion. sporadic Plants look generally stressed.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
According to the grower: sudden Plant vigor declines noticeably. slight Leaf surfaces feel dry and rough.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
"Field observation shows: visible Lesions enlarge during warm, humid weather. sporadic Foliage appears scorched and curled. slight Affected plants exhibit reduced tuber size.",Potato,Unhealthy,Early_blight,Neem oil
According to the grower: visible Yellow halos surround each small lesion. extensive Stems remain largely unaffected. clear Tiny dark specks appear with pale centers.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Field observation shows: sporadic Plant stands tall and vigorous. moderate No sign of curling or wilting. extensive Fruit clusters are well-formed.,Tomato,Healthy,healthy,None
Farmer complains: rapid Fruit clusters are well-formed.,Tomato,Healthy,healthy,None
extensive Whole fields can appear scorched and dead.,Potato,Unhealthy,Late_blight,Sulfur spray
Visual check indicates: slight Foliage appears scorched and curled.,Potato,Unhealthy,Early_blight,Neem oil
Inspection reveals: slight Tiny dark spots appear on young leaves. rapid Spots sometimes merge into larger dead areas. sporadic Leaves develop yellow halos around spots.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Field observation shows: severe Young leaves curl upward and turn yellow. severe Fruit production decreases sharply.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Inspection reveals: slight Plant vigor decreases over time. visible Stems may show sunken brown streaks. notable Overall growth appears stunted.,Tomato,Unhealthy,Early_blight,Horticultural oil
Agronomist notes: visible Fruit production decreases sharply.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer reports: clear Foliage appears scorched and curled.,Potato,Unhealthy,Early_blight,Neem oil
According to the grower: rapid Growth appears stunted with patchy foliage. sudden Fruits show dark specks near the stem end.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
sudden Severe infections lead to premature leaf drop. moderate Fruits show dark specks near the stem end.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
"Field observation shows: sporadic Infected tubers show dark, firm patches beneath the skin. sporadic Stems show brown streaks near soil level.",Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: extensive Spots are more prominent under humid conditions.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer reports: extensive Fruit clusters are well-formed.,Tomato,Healthy,healthy,None
Field observation shows: notable Webbing may be visible between leaves and stems. rapid Infestation begins on lower leaves. visible Leaf surfaces feel dry and rough.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Farmer reports: notable Stems are firm and unblemished. visible Leaf edges remain intact and smooth.,Potato,Healthy,healthy,None
"extensive Lesions spread quickly under cool, wet weather. clear Stems show brown streaks near soil level. rapid Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray
According to the grower: moderate Fruits develop uneven ripening. severe Leaves may appear leathery.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Farmer reports: rapid Yellow halos surround each small lesion. severe Tiny dark specks appear with pale centers.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Visual check indicates: severe Severe cases cause significant leaf loss.,Potato,Unhealthy,Early_blight,Neem oil
Visual check indicates: sudden Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: moderate Leaf edges appear scorched and curled. notable Plant vigor decreases over time.,Tomato,Unhealthy,Early_blight,Horticultural oil
Visual check indicates: severe Dark concentric rings form on lower leaves.,Tomato,Unhealthy,Early_blight,Horticultural oil
Field observation shows: extensive No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,None
Visual check indicates: clear Fruit set appears normal and healthy.,Pepper_bell,Healthy,healthy,None
Visual check indicates: sporadic Fruits show dark specks near the stem end. visible Spots develop yellow halos as they expand. extensive Spots are more prominent under humid conditions.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer complains: sporadic Lower leaves drop prematurely. slight Lesions become angular and water-soaked. moderate Spots sometimes merge into larger dead areas.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Inspection reveals: extensive Leaves become limp and collapse suddenly. clear Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: notable No sign of curling or wilting.,Tomato,Healthy,healthy,None
According to the grower: moderate Small dark lesions appear on the lower leaves.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Field observation shows: visible Lesions merge into large yellow areas. sudden Lower leaves are affected first. sporadic Yellow patches appear on upper leaf surfaces.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer complains: extensive Leaves look scorched or burnt at the edges.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer complains: slight Stems turn brown and brittle. clear Infected areas emit a musty odor. sporadic Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil
Field observation shows: moderate Lesions merge into large yellow areas. visible Yellow patches appear on upper leaf surfaces.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Agronomist notes: moderate No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,None
According to the grower: sporadic Leaves curl and become brittle. moderate Lower leaves are affected first. notable Undersides develop fuzzy white or olive mold.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Visual check indicates: clear Leaves are lush green with no visible spots.,Potato,Healthy,healthy,None
"Agronomist notes: notable Edges of lesions appear water-soaked and greasy. visible Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: visible Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,None
notable Virus spreads via whiteflies rapidly. severe Veins become thick and prominent.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: extensive Plant growth slows noticeably. notable Leaves curl and become brittle.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Visual check indicates: sporadic Plants appear free from any pests or diseases. clear Overall growth is steady and balanced.,Tomato,Healthy,healthy,None
Inspection reveals: notable Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,None
Agronomist notes: sporadic Undersides develop fuzzy white or olive mold.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer reports: sudden Virus spreads via whiteflies rapidly. severe Veins become thick and prominent.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
rapid Leaves appear crumpled and thickened. notable Leaf edges show bright yellow coloring. clear Internodes shorten dramatically.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: notable Overall plant appears dwarfed. rapid Flowers often drop without fruit setting.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Agronomist notes: extensive Fruits show irregular color patterns.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Field observation shows: notable Leaves become thin and sparse. moderate Spots remain less than ⅛ inch in diameter. sudden Lower leaves drop early in the season.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Inspection reveals: notable Symptoms worsen under high light conditions. notable Growth appears stunted and twisted.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Visual check indicates: sudden Severe infections lead to premature leaf drop. extensive Growth appears stunted with patchy foliage. sudden Lesions coalesce into large blighted zones.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer complains: clear Spots may merge into larger dead zones.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Inspection reveals: sporadic Severe infections lead to premature leaf drop. slight Fruits show dark specks near the stem end. rapid Spots develop yellow halos as they expand.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
According to the grower: notable Lesions become raised and scabby on fruit. notable Lower leaves drop early under stress.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
"Farmer complains: sudden Warm, wet weather increases disease spread. moderate Spots sometimes merge into larger dead areas.",Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Visual check indicates: sporadic Edges of leaves become brown and dry.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Inspection reveals: notable Brown patches coalesce into larger necrotic areas. sporadic Small dark spots develop with concentric rings. slight Lower leaves drop prematurely under stress.,Potato,Unhealthy,Early_blight,Neem oil
Farmer complains: rapid Flower formation may be reduced. slight Symptoms worsen under high light conditions.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Inspection reveals: visible Tuber development appears uniform and healthy.,Potato,Healthy,healthy,None
Agronomist notes: moderate Spots are more prominent under humid conditions. sporadic Severe infections lead to premature leaf drop.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Agronomist notes: notable Fruit production decreases sharply.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
