description,crop,status,disease,recommended_pesticide,image_path
Farmer reports: sudden Fruit rot occurs quickly after infection. severe White mold may appear on leaf undersides. moderate Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\7ec8c270-72a5-4c84-bfdb-400735f5b35c___GHLB_PS Leaf 46 Day 18.jpg
Farmer reports: slight Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: sudden Leaves collapse suddenly without warning. extensive Fruits develop firm dark lesions with greasy texture. visible Stems turn brown and brittle.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\4b115bc3-911c-4e98-b948-a6a360f06a87___GHLB_PS Leaf 25 Day 9.jpg
According to the grower: clear Flowers appear healthy and plentiful. visible Plants appear free from any pests or diseases. sporadic Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: severe Stems show brown streaks near soil level. severe Edges of lesions appear water-soaked and greasy. clear Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\ed974f5b-e999-46a9-9e22-da51da2766b6___GHLB_PS Leaf 8 Day 16.jpg
extensive Plants appear free from any pests or diseases. moderate Overall growth is steady and balanced.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: visible Leaves collapse suddenly without warning. notable Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\35262a28-c600-4d1a-9179-f2e0d1638c08___GHLB_PS Leaf 42 Day 18.jpg
Agronomist notes: notable Growth appears vigorous and steady. extensive Leaves are lush green with no visible spots. notable Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: sudden Stems turn brown and brittle. visible Infected areas emit a musty odor. sporadic Whole plants may wilt overnight.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\ac1fbb8a-2a44-4d70-8c93-fc3cc13a876d___GHLB_PS Leaf 17 Day 8.jpg
Agronomist notes: sudden Overall appearance is robust and lush. slight No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sporadic Overall growth is steady and balanced.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer complains: sudden Blight odor is noticeable in severe infections. clear Edges of lesions appear water-soaked and greasy. severe Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\29e924db-ef09-49f2-9db3-e3c548a444d5___GHLB_PS Leaf 17.1 Day 9.jpg
Visual check indicates: rapid New leaves become infected almost overnight. extensive Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\af0ded43-0d73-4d40-bd97-2597806aa707___GHLB_PS Leaf 37 Day 13.jpg
Field observation shows: rapid Fruits develop evenly with no blemishes. notable No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer reports: notable White mold may appear on leaf undersides. clear Cool, moist weather promotes rapid spread. extensive Edges of lesions look water-soaked.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\7d4d00c0-1e72-427d-9f05-1f64f8051cb8___GHLB_PS Leaf 1 Day 7.jpg
Field observation shows: severe Leaf edges remain intact and smooth. notable Stems are firm and unblemished. clear Plants show no signs of stress or pests.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: severe Overall growth is steady and balanced. severe Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
clear Fruits develop firm dark lesions with greasy texture. clear Fruit rot occurs quickly after infection.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\452dfdfb-298d-4c0c-b500-0c480eea587d___GHLB_PS Leaf 40 Day 18.jpg
Inspection reveals: sudden No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: sporadic Blight odor is noticeable in severe infections. severe White fungal growth may appear under humid conditions. sudden Large brown blotches develop rapidly on leaves.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\6395653e-67bb-45ae-97cb-9adf19a9ae62___GHLB_PS Leaf 16 Day 8.jpg
Farmer reports: sporadic No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: clear Leaves are lush green with no visible spots.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: notable Surfaces remain free of lesions or mold. slight Leaves look vibrant green with a smooth texture. sporadic Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
notable Blight odor is noticeable in severe infections. extensive Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\65d94a14-e372-4f4f-b955-c2144ebd3166___GHLB_PS Leaf 28 Day 13.jpg
clear White fungal growth may appear under humid conditions. severe Leaves become limp and collapse suddenly. extensive Large brown blotches develop rapidly on leaves.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\c4f45383-715a-48b2-8ec7-c45d1c230a9d___GHLB_PS Leaf 13.1 Day 7.jpg
extensive Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\f66ada20-cd47-4393-b7c6-87f1f39fd741___GHLB_PS Leaf 41.1 Day 18.jpg
Inspection reveals: severe Whole plants may wilt overnight. visible Stems turn brown and brittle. clear Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\123c4b62-8641-4d88-b8cd-1c2e24a6c3a5___GHLB_PS Leaf 26.2 Day 13.jpg
notable Stems appear firm and upright. notable Fruits develop bright color and firm walls. slight Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate Overall appearance is robust and lush. moderate Stems appear firm and upright.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
visible Edges of lesions appear water-soaked and greasy. sporadic New leaves become infected almost overnight. moderate Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\4b115bc3-911c-4e98-b948-a6a360f06a87___GHLB_PS Leaf 25 Day 9.jpg
"According to the grower: moderate Leaves become limp and collapse suddenly. clear Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\98ae3801-450e-493f-aca0-014520cfaf6e___GHLB_PS Leaf 29.1 Day 12.jpg
Visual check indicates: visible Leaves look vibrant green with a smooth texture. severe Overall appearance is robust and lush.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: sporadic No signs of wilting or discoloration. sporadic Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: severe No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: extensive Large irregular brown patches appear on leaves. notable Fruit rot occurs quickly after infection.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\80fc88e3-e4b6-49be-9f10-a364dbf88767___GHLB2ES Leaf 137.jpg
Visual check indicates: notable Stems appear firm and upright.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: rapid Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\b2f89c9a-820c-4a8b-a6dd-bb0adab42757___GHLB_PS Leaf 44.1 Day 18.jpg
"visible Infected tubers show dark, firm patches beneath the skin. severe Lesions spread quickly under cool, wet weather. severe Edges of lesions appear water-soaked and greasy.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\10acd4c3-b1b8-4fc7-848a-c9af30086e78___GHLB_PS Leaf 28.2 Day 13.jpg
"Visual check indicates: sudden Cool, moist weather promotes rapid spread. visible Large irregular brown patches appear on leaves. clear Leaves collapse suddenly without warning.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\373403cf-6ba1-441e-bd8a-590578b67ba7___GHLB_PS Leaf 1 Day 16.jpg
Farmer reports: rapid Blight odor is noticeable in severe infections. severe White fungal growth may appear under humid conditions.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\373403cf-6ba1-441e-bd8a-590578b67ba7___GHLB_PS Leaf 1 Day 16.jpg
"Inspection reveals: sudden White mold may appear on leaf undersides. clear Cool, moist weather promotes rapid spread. visible Large irregular brown patches appear on leaves.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\45fefdc6-a9a7-4955-8066-146efe1c8a1c___GHLB_PS Leaf 27 Day 9.jpg
Farmer reports: clear No visible blemishes on leaves or stems. rapid Leaves look vibrant green with a smooth texture. severe Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: rapid Flowers appear healthy and plentiful. moderate Overall growth is steady and balanced.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
notable Stems turn brown and brittle. severe Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\12c80d02-59c6-4db4-a96e-b28c3fdaf3c2___GHLB_PS Leaf 1.2 Day 9.jpg
notable Stems turn brown and brittle. sporadic Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\c9f19d2a-8c9d-4ac1-b077-545c5d6f53a9___GHLB_PS Leaf 53 Day 18 .jpg
Inspection reveals: moderate Leaves look lush green with a glossy surface. moderate No spots or discoloration on leaves. extensive Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: slight Whole fields can appear scorched and dead. notable New leaves become infected almost overnight. clear Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\ea0c20e8-ad9f-48a0-830c-280dbeeed370___GHLB_PS Leaf 48.1 Day 18.jpg
Visual check indicates: clear Leaves look lush green with a glossy surface. slight Overall growth is steady and balanced. moderate Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
extensive Fruit set appears normal and healthy. visible Overall appearance is robust and lush. sporadic Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: visible Fruit set appears normal and healthy. visible Fruits develop bright color and firm walls. sudden No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: sporadic Plant stands tall and vigorous. moderate No sign of curling or wilting. extensive Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: rapid Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
extensive Whole fields can appear scorched and dead.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\c3a5ec63-9d0d-48a2-898a-9bc31b4443a9___GHLB_PS Leaf 1.2 Day 16.jpg
"Field observation shows: sporadic Infected tubers show dark, firm patches beneath the skin. sporadic Stems show brown streaks near soil level.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\09cdb8a4-0c20-4acd-b4c8-709fad7010fd___GHLB_PS Leaf 37 Day 16.jpg
Farmer reports: extensive Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: notable Stems are firm and unblemished. visible Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"extensive Lesions spread quickly under cool, wet weather. clear Stems show brown streaks near soil level. rapid Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\c3a5ec63-9d0d-48a2-898a-9bc31b4443a9___GHLB_PS Leaf 1.2 Day 16.jpg
Field observation shows: extensive No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: clear Fruit set appears normal and healthy.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: extensive Leaves become limp and collapse suddenly. clear Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\a59f35a2-f548-4e6f-8784-c106af003c33___GHLB_PS Leaf 25.1 Day 16.jpg
Farmer complains: notable No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: slight Stems turn brown and brittle. clear Infected areas emit a musty odor. sporadic Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\861d8b00-57a4-46b0-b51a-09d102dbe119___GHLB_PS Leaf 24 Day 13.jpg
Agronomist notes: moderate No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: clear Leaves are lush green with no visible spots.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Agronomist notes: notable Edges of lesions appear water-soaked and greasy. visible Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\d346f7f2-7cc9-43ef-bfcf-fbfd9d9db724___GHLB_PS Leaf 18 Day 8.jpg
Farmer complains: visible Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: sporadic Plants appear free from any pests or diseases. clear Overall growth is steady and balanced.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: notable Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: visible Tuber development appears uniform and healthy.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"notable Blight odor is noticeable in severe infections. moderate Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\ff82087d-e992-41fb-a2ec-f726d92e6c58___GHLB_PS Leaf 27 day 13.jpg
Inspection reveals: visible Stems appear firm and upright. slight Fruit set appears normal and healthy. slight No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Field observation shows: notable Lesions spread quickly under cool, wet weather. severe Large brown blotches develop rapidly on leaves.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\f66ada20-cd47-4393-b7c6-87f1f39fd741___GHLB_PS Leaf 41.1 Day 18.jpg
Inspection reveals: notable Overall growth is steady and balanced. clear Plant stands tall and vigorous. extensive Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Field observation shows: rapid Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\231e8502-72a3-4717-9ab7-919d02f6be1b___GHLB_PS Leaf 27.4 Day 13.jpg
clear Stems turn brown and brittle. severe Infected areas emit a musty odor. notable Fruit rot occurs quickly after infection.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\121097dd-b0cb-436b-9b2f-7dab30c86872___GHLB_PS Leaf 37.1 Day 13.jpg
Agronomist notes: extensive Overall growth is steady and balanced. sudden Stems remain firm and robust. severe Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: notable White mold may appear on leaf undersides.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\b68b50e0-52b1-4ba0-98df-8080ffaf3a70___GHLB_PS Leaf 26 Day 16.jpg
Inspection reveals: sudden Overall growth is steady and balanced. sudden Fruits develop evenly with no blemishes.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: severe Plant canopy is full and evenly spaced. notable Growth appears vigorous and balanced. sporadic Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate Large irregular brown patches appear on leaves. extensive Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\0172b2ff-6f6f-43e1-9a63-ea4bb2bce450___GHLB_PS Leaf 17 Day 9.jpg
Field observation shows: slight Plants show no signs of stress or pests. rapid Tuber development appears uniform and healthy.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sudden Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: slight Fruit set appears normal and healthy. moderate Stems appear firm and upright. moderate Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: moderate Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: extensive Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: sudden Leaves are lush green with no visible spots. moderate Growth appears vigorous and steady.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: extensive No signs of wilting or discoloration. severe Leaves are lush green with no visible spots. moderate Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: visible Plant canopy is full and evenly spaced. sudden No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: rapid Tuber development appears uniform and healthy.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"severe Large brown blotches develop rapidly on leaves. sudden Blight odor is noticeable in severe infections. sporadic Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\fb5dc387-cb1d-49bb-b81e-58d60705a2fd___GHLB_PS Leaf 1.3 Day 16.jpg
Field observation shows: visible Plant stands tall and vigorous. sporadic Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: clear Plants appear free from any pests or diseases. sudden No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: moderate Surfaces remain free of lesions or mold.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
severe Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\3db1a347-001b-4170-8f64-4fa097f83bc7___GHLB_PS Leaf 1.2 Day 8.jpg
Inspection reveals: visible Stems are firm and unblemished. rapid Tuber development appears uniform and healthy.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: rapid White mold may appear on leaf undersides.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\31eb8659-67c1-4cc6-b0b9-1d5ffe9eed0b___GHLB_PS Leaf 2.3 Day 18.jpg
Farmer complains: clear Growth appears vigorous and balanced. notable No unusual wilting or curling of leaves. rapid Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Inspection reveals: extensive Leaves become limp and collapse suddenly. visible White fungal growth may appear under humid conditions. sudden Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\cac3a565-799f-4b66-a575-5ad6ff356d37___GHLB_PS Leaf 2.3 Day 8.jpg
"Field observation shows: severe Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\a5ef7726-d20f-4109-985f-7fc8989e4aa5___GHLB_PS Leaf 2.2 Day 8.jpg
Inspection reveals: rapid Plants show no signs of stress or pests. severe No unusual odor detected in the field. severe Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: visible Tuber development appears uniform and healthy.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: extensive Leaf edges remain intact and smooth. extensive Stems are firm and unblemished. moderate Plants maintain strong upright growth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"visible Infected tubers show dark, firm patches beneath the skin. moderate Stems show brown streaks near soil level.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\12125c80-42e3-4970-bb92-524262c337fa___GHLB_PS Leaf 8.1 Day 7.jpg
Farmer reports: extensive No spots or discoloration on leaves. rapid No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: sporadic Plants show no signs of stress or pests. slight Tuber development appears uniform and healthy. extensive Leaves are lush green with no visible spots.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: notable Growth appears vigorous and balanced. notable Fruit set appears normal and healthy. moderate Stems appear firm and upright.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: clear Stems show brown streaks near soil level. sudden Edges of lesions appear water-soaked and greasy. visible New leaves become infected almost overnight.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\bb1cfbc3-b8eb-4a56-9313-86cffbea4524___GHLB_PS Leaf 30.1 Day 13.jpg
Farmer complains: rapid Healthy foliage covers the soil evenly. severe Leaves are lush green with no visible spots. slight Plants show no signs of stress or pests.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
