disease,clean_description,recommended_pesticide
Early_blight,field observation show clear overall growth appears stunted,Horticultural oil
Bacterial_spot,visual check indicates slight lower leaf drop prematurely moderate spot sometimes merge larger dead area sudden bacterial ooze may visible moist condition,Biological predators
Leaf_Mold,according grower notable underside develop fuzzy white olive mold notable plant growth slows noticeably,Sulfur spray
Late_blight,notable blight odor noticeable severe infection extensive stem show brown streak near soil level,Sulfur spray
Early_blight,farmer report notable older leaf first show symptom rapid affected plant exhibit reduced tuber size,Neem oil
Spider_mites_Two_spotted_spider_mite,clear leaf appear stippled pale spot severe infestation begin lower leaf,Sulfur spray
Leaf_Mold,field observation show visible underside develop fuzzy white olive mold notable fruit development may reduced,Sulfur spray
Late_blight,clear white fungal growth may appear humid condition severe leaf become limp collapse suddenly extensive large brown blotch develop rapidly leaf,Sulfur spray
Early_blight,extensive small dark spot develop concentric ring,Neem oil
Late_blight,extensive infected area emit musty odor,Neem oil
Tomato_mosaic_virus,extensive leaflet may become fernlike narrow rapid symptom worsen high light condition sudden leaf display mottled light dark green patch,Biological predators
Late_blight,inspection reveals severe whole plant may wilt overnight visible stem turn brown brittle clear large irregular brown patch appear leaf,Neem oil
Tomato_YellowLeaf_Curl_Virus,field observation show notable vein become thick prominent,Horticultural oil
Septoria_leaf_spot,farmer report sporadic spot remain le ⅛ inch diameter,Neem oil
Leaf_Mold,farmer report severe yellow patch appear upper leaf surface,Sulfur spray
Early_blight,inspection reveals clear lower leaf drop prematurely stress notable severe case cause significant leaf loss,Neem oil
Early_blight,inspection reveals rapid dark concentric ring form lower leaf clear fruit develop sunken leathery patch,Horticultural oil
Spider_mites_Two_spotted_spider_mite,agronomist note moderate fine yellow dust may visible foliage,Sulfur spray
Target_Spot,inspection reveals notable spot prominent humid condition notable leaf look scorched burnt edge,Bacillus subtilis
healthy,notable stem appear firm upright notable fruit develop bright color firm wall slight plant canopy full evenly spaced,No pesticide needed
Early_blight,visual check indicates rapid plant vigor decrease time,Horticultural oil
healthy,according grower moderate overall appearance robust lush moderate stem appear firm upright,No pesticide needed
Bacterial_spot,rapid warm wet weather increase disease spread,Biological predators
Spider_mites_Two_spotted_spider_mite,extensive leaf surface feel dry rough sudden mite thrive hot dry condition notable leaf turn bronze curl,Sulfur spray
Late_blight,visible edge lesion appear watersoaked greasy sporadic new leaf become infected almost overnight moderate blight odor noticeable severe infection,Sulfur spray
Leaf_Mold,according grower visible leaf curl become brittle moderate edge leaf become brown dry rapid leaf develop musty odor,Sulfur spray
Spider_mites_Two_spotted_spider_mite,farmer complains extensive leaf appear stippled pale spot sudden infestation begin lower leaf sudden fruit development may stunted,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,visual check indicates sudden fruit production decrease sharply rapid growth becomes stunted bushy,Horticultural oil
Tomato_mosaic_virus,field observation show visible growth appears stunted twisted,Biological predators
Spider_mites_Two_spotted_spider_mite,according grower severe fruit development may stunted,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,agronomist note visible overall plant appears dwarfed severe young leaf curl upward turn yellow,Horticultural oil
Septoria_leaf_spot,moderate spot remain le ⅛ inch diameter slight plant look generally stressed extensive yellow halo surround small lesion,Neem oil
Late_blight,according grower moderate leaf become limp collapse suddenly clear infected tuber show dark firm patch beneath skin,Sulfur spray
Leaf_Mold,farmer complains notable leaf develop musty odor,Sulfur spray
Target_Spot,inspection reveals sudden small dark lesion appear lower leaf clear spot prominent humid condition,Bacillus subtilis
Septoria_leaf_spot,rapid spot remain le ⅛ inch diameter moderate plant look generally stressed visible tiny dark speck appear pale center,Neem oil
Spider_mites_Two_spotted_spider_mite,field observation show rapid leaf appear stippled pale spot sudden webbing may visible leaf stem sporadic plant vigor decline noticeably,Sulfur spray
Target_Spot,inspection reveals sudden small dark lesion appear lower leaf,Bacillus subtilis
Bacterial_spot,field observation show extensive spot may merge larger dead zone extensive warm weather accelerates disease spread moderate infected fruit appears pitted rough,Sulfur spray
healthy,visual check indicates visible leaf look vibrant green smooth texture severe overall appearance robust lush,No pesticide needed
Early_blight,according grower visible fruit develop sunken leathery patch moderate yellowing appears around brown lesion clear leaf drop prematurely stress,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,field observation show moderate young leaf curl upward turn yellow,Horticultural oil
Bacterial_spot,according grower moderate bacterial ooze may visible moist condition clear infected fruit show raised scabby lesion slight leaf edge turn brown crack,Biological predators
Early_blight,extensive older leaf show symptom first,Horticultural oil
healthy,agronomist note sporadic sign wilting discoloration sporadic leaf edge remain intact smooth,No pesticide needed
healthy,field observation show severe unusual wilting curling leaf,No pesticide needed
Bacterial_spot,field observation show rapid warm weather accelerates disease spread severe lesion become raised scabby fruit,Sulfur spray
Early_blight,sudden foliage appears scorched curled extensive severe case cause significant leaf loss,Neem oil
Target_Spot,visible growth appears stunted patchy foliage sudden affected area appear sunken dry extensive spot develop yellow halo expand,Bacillus subtilis
Septoria_leaf_spot,farmer report moderate plant look generally stressed slight spot remain le ⅛ inch diameter slight growth appears patchy across field,Neem oil
Bacterial_spot,inspection reveals extensive lesion become raised scabby fruit notable warm weather accelerates disease spread,Sulfur spray
Late_blight,farmer report extensive large irregular brown patch appear leaf notable fruit rot occurs quickly infection,Neem oil
Tomato_YellowLeaf_Curl_Virus,according grower visible growth becomes stunted bushy rapid fruit production decrease sharply,Horticultural oil
Tomato_mosaic_virus,severe leaflet may become fernlike narrow clear leaf display mottled light dark green patch sudden overall plant vigor decrease,Biological predators
Target_Spot,inspection reveals moderate spot prominent humid condition sporadic affected area appear sunken dry,Bacillus subtilis
healthy,visual check indicates notable stem appear firm upright,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,field observation show notable virus spread via whitefly rapidly,Horticultural oil
Late_blight,according grower rapid stem show brown streak near soil level,Sulfur spray
Early_blight,field observation show extensive brown patch coalesce larger necrotic area,Neem oil
Early_blight,according grower clear dark spot sometimes appear stem severe leaf yellow around brown lesion rapid affected plant exhibit reduced tuber size,Neem oil
Tomato_YellowLeaf_Curl_Virus,inspection reveals slight flower often drop without fruit setting slight vein become thick prominent,Horticultural oil
Late_blight,visible infected tuber show dark firm patch beneath skin severe lesion spread quickly cool wet weather severe edge lesion appear watersoaked greasy,Sulfur spray
Late_blight,visual check indicates sudden cool moist weather promotes rapid spread visible large irregular brown patch appear leaf clear leaf collapse suddenly without warning,Neem oil
Early_blight,farmer complains severe older leaf show symptom first rapid plant vigor decrease time notable spot expand warm humid weather,Horticultural oil
Target_Spot,field observation show visible small dark lesion appear lower leaf,Bacillus subtilis
Bacterial_spot,farmer report moderate tiny dark speck appear young leaf extensive lesion become raised scabby fruit,Sulfur spray
Late_blight,farmer report rapid blight odor noticeable severe infection severe white fungal growth may appear humid condition,Sulfur spray
Late_blight,inspection reveals sudden white mold may appear leaf underside clear cool moist weather promotes rapid spread visible large irregular brown patch appear leaf,Neem oil
healthy,farmer report clear visible blemish leaf stem rapid leaf look vibrant green smooth texture severe plant canopy full evenly spaced,No pesticide needed
Septoria_leaf_spot,slight spot remain le ⅛ inch diameter,Neem oil
Bacterial_spot,agronomist note moderate infected fruit show raised scabby lesion,Biological predators
healthy,according grower rapid flower appear healthy plentiful moderate overall growth steady balanced,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,farmer report sudden internode shorten dramatically visible leaf edge show bright yellow coloring sporadic overall plant appears dwarfed,Horticultural oil
Late_blight,notable stem turn brown brittle severe infected area emit musty odor,Neem oil
Bacterial_spot,farmer complains notable tiny dark speck appear young leaf clear plant growth becomes stunted uneven,Sulfur spray
Early_blight,severe older leaf first show symptom visible foliage appears scorched curled,Neem oil
Leaf_Mold,inspection reveals sudden leaf develop musty odor,Sulfur spray
Early_blight,farmer complains sporadic affected plant exhibit reduced tuber size clear lesion enlarge warm humid weather,Neem oil
Septoria_leaf_spot,agronomist note clear growth appears patchy across field extensive leaf become thin sparse rapid spot remain le ⅛ inch diameter,Neem oil
Tomato_YellowLeaf_Curl_Virus,agronomist note severe flower often drop without fruit setting extensive virus spread via whitefly rapidly,Horticultural oil
Late_blight,notable stem turn brown brittle sporadic edge lesion look watersoaked,Neem oil
healthy,inspection reveals moderate leaf look lush green glossy surface moderate spot discoloration leaf extensive stem remain firm robust,No pesticide needed
Leaf_Mold,agronomist note sporadic yellow patch appear upper leaf surface extensive lesion merge large yellow area,Sulfur spray
Septoria_leaf_spot,farmer report sporadic leaf become thin sparse,Neem oil
Late_blight,farmer complains slight whole field appear scorched dead notable new leaf become infected almost overnight clear blight odor noticeable severe infection,Sulfur spray
Target_Spot,farmer complains sudden spot develop yellow halo expand visible fruit show dark speck near stem end severe spot prominent humid condition,Bacillus subtilis
healthy,visual check indicates clear leaf look lush green glossy surface slight overall growth steady balanced moderate plant appear free pest disease,No pesticide needed
Septoria_leaf_spot,according grower severe leaf become thin sparse rapid stem remain largely unaffected,Neem oil
Early_blight,farmer complains notable overall growth appears stunted,Horticultural oil
Spider_mites_Two_spotted_spider_mite,inspection reveals extensive leaf turn bronze curl sporadic fruit development may stunted sporadic fine yellow dust may visible foliage,Sulfur spray
Bacterial_spot,field observation show severe leaf edge become ragged torn visible brown streak may appear stem moderate tiny dark speck appear young leaf,Sulfur spray
healthy,extensive fruit set appears normal healthy visible overall appearance robust lush sporadic growth appears vigorous balanced,No pesticide needed
healthy,visual check indicates visible fruit set appears normal healthy visible fruit develop bright color firm wall sudden visible blemish leaf stem,No pesticide needed
Early_blight,inspection reveals severe plant vigor decrease time clear spot expand warm humid weather slight yellowing appears around brown lesion,Horticultural oil
Septoria_leaf_spot,farmer complains moderate spot remain le ⅛ inch diameter clear yellow halo surround small lesion sporadic plant look generally stressed,Neem oil
Spider_mites_Two_spotted_spider_mite,according grower sudden plant vigor decline noticeably slight leaf surface feel dry rough,Sulfur spray
Early_blight,field observation show visible lesion enlarge warm humid weather sporadic foliage appears scorched curled slight affected plant exhibit reduced tuber size,Neem oil
Septoria_leaf_spot,according grower visible yellow halo surround small lesion extensive stem remain largely unaffected clear tiny dark speck appear pale center,Neem oil
healthy,field observation show sporadic plant stand tall vigorous moderate sign curling wilting extensive fruit cluster wellformed,No pesticide needed
healthy,farmer complains rapid fruit cluster wellformed,No pesticide needed
Late_blight,extensive whole field appear scorched dead,Sulfur spray
Early_blight,visual check indicates slight foliage appears scorched curled,Neem oil
Bacterial_spot,inspection reveals slight tiny dark spot appear young leaf rapid spot sometimes merge larger dead area sporadic leaf develop yellow halo around spot,Biological predators
Tomato_YellowLeaf_Curl_Virus,field observation show severe young leaf curl upward turn yellow severe fruit production decrease sharply,Horticultural oil
Early_blight,inspection reveals slight plant vigor decrease time visible stem may show sunken brown streak notable overall growth appears stunted,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,agronomist note visible fruit production decrease sharply,Horticultural oil
Early_blight,farmer report clear foliage appears scorched curled,Neem oil
Target_Spot,according grower rapid growth appears stunted patchy foliage sudden fruit show dark speck near stem end,Bacillus subtilis
Target_Spot,sudden severe infection lead premature leaf drop moderate fruit show dark speck near stem end,Bacillus subtilis
Late_blight,field observation show sporadic infected tuber show dark firm patch beneath skin sporadic stem show brown streak near soil level,Sulfur spray
Target_Spot,farmer complains extensive spot prominent humid condition,Bacillus subtilis
healthy,farmer report extensive fruit cluster wellformed,No pesticide needed
Spider_mites_Two_spotted_spider_mite,field observation show notable webbing may visible leaf stem rapid infestation begin lower leaf visible leaf surface feel dry rough,Sulfur spray
healthy,farmer report notable stem firm unblemished visible leaf edge remain intact smooth,No pesticide needed
Late_blight,extensive lesion spread quickly cool wet weather clear stem show brown streak near soil level rapid infected tuber show dark firm patch beneath skin,Sulfur spray
Tomato_mosaic_virus,according grower moderate fruit develop uneven ripening severe leaf may appear leathery,Biological predators
Septoria_leaf_spot,farmer report rapid yellow halo surround small lesion severe tiny dark speck appear pale center,Neem oil
Early_blight,visual check indicates severe severe case cause significant leaf loss,Neem oil
Tomato_YellowLeaf_Curl_Virus,visual check indicates sudden virus spread via whitefly rapidly,Horticultural oil
Early_blight,according grower moderate leaf edge appear scorched curled notable plant vigor decrease time,Horticultural oil
Early_blight,visual check indicates severe dark concentric ring form lower leaf,Horticultural oil
healthy,field observation show extensive unusual wilting curling leaf,No pesticide needed
healthy,visual check indicates clear fruit set appears normal healthy,No pesticide needed
Target_Spot,visual check indicates sporadic fruit show dark speck near stem end visible spot develop yellow halo expand extensive spot prominent humid condition,Bacillus subtilis
Bacterial_spot,farmer complains sporadic lower leaf drop prematurely slight lesion become angular watersoaked moderate spot sometimes merge larger dead area,Biological predators
Late_blight,inspection reveals extensive leaf become limp collapse suddenly clear edge lesion appear watersoaked greasy,Sulfur spray
healthy,farmer complains notable sign curling wilting,No pesticide needed
Target_Spot,according grower moderate small dark lesion appear lower leaf,Bacillus subtilis
Leaf_Mold,field observation show visible lesion merge large yellow area sudden lower leaf affected first sporadic yellow patch appear upper leaf surface,Sulfur spray
Target_Spot,farmer complains extensive leaf look scorched burnt edge,Bacillus subtilis
Late_blight,farmer complains slight stem turn brown brittle clear infected area emit musty odor sporadic edge lesion look watersoaked,Neem oil
Leaf_Mold,field observation show moderate lesion merge large yellow area visible yellow patch appear upper leaf surface,Sulfur spray
healthy,agronomist note moderate visible blemish leaf stem,No pesticide needed
Leaf_Mold,according grower sporadic leaf curl become brittle moderate lower leaf affected first notable underside develop fuzzy white olive mold,Sulfur spray
healthy,visual check indicates clear leaf lush green visible spot,No pesticide needed
Late_blight,agronomist note notable edge lesion appear watersoaked greasy visible lesion spread quickly cool wet weather,Sulfur spray
healthy,farmer complains visible leaf look lush green glossy surface,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,notable virus spread via whitefly rapidly severe vein become thick prominent,Horticultural oil
Leaf_Mold,according grower extensive plant growth slows noticeably notable leaf curl become brittle,Sulfur spray
healthy,visual check indicates sporadic plant appear free pest disease clear overall growth steady balanced,No pesticide needed
healthy,inspection reveals notable fruit develop bright color firm wall,No pesticide needed
Leaf_Mold,agronomist note sporadic underside develop fuzzy white olive mold,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer report sudden virus spread via whitefly rapidly severe vein become thick prominent,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,rapid leaf appear crumpled thickened notable leaf edge show bright yellow coloring clear internode shorten dramatically,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,according grower notable overall plant appears dwarfed rapid flower often drop without fruit setting,Horticultural oil
Tomato_mosaic_virus,agronomist note extensive fruit show irregular color pattern,Biological predators
Septoria_leaf_spot,field observation show notable leaf become thin sparse moderate spot remain le ⅛ inch diameter sudden lower leaf drop early season,Neem oil
Tomato_mosaic_virus,inspection reveals notable symptom worsen high light condition notable growth appears stunted twisted,Biological predators
Target_Spot,visual check indicates sudden severe infection lead premature leaf drop extensive growth appears stunted patchy foliage sudden lesion coalesce large blighted zone,Bacillus subtilis
Bacterial_spot,farmer complains clear spot may merge larger dead zone,Sulfur spray
Target_Spot,inspection reveals sporadic severe infection lead premature leaf drop slight fruit show dark speck near stem end rapid spot develop yellow halo expand,Bacillus subtilis
Bacterial_spot,according grower notable lesion become raised scabby fruit notable lower leaf drop early stress,Sulfur spray
Bacterial_spot,farmer complains sudden warm wet weather increase disease spread moderate spot sometimes merge larger dead area,Biological predators
Leaf_Mold,visual check indicates sporadic edge leaf become brown dry,Sulfur spray
Early_blight,inspection reveals notable brown patch coalesce larger necrotic area sporadic small dark spot develop concentric ring slight lower leaf drop prematurely stress,Neem oil
Tomato_mosaic_virus,farmer complains rapid flower formation may reduced slight symptom worsen high light condition,Biological predators
healthy,inspection reveals visible tuber development appears uniform healthy,No pesticide needed
Target_Spot,agronomist note moderate spot prominent humid condition sporadic severe infection lead premature leaf drop,Bacillus subtilis
Tomato_YellowLeaf_Curl_Virus,agronomist note notable fruit production decrease sharply,Horticultural oil
Late_blight,notable blight odor noticeable severe infection moderate infected tuber show dark firm patch beneath skin,Sulfur spray
Target_Spot,inspection reveals slight spot prominent humid condition clear fruit show dark speck near stem end notable severe infection lead premature leaf drop,Bacillus subtilis
Bacterial_spot,farmer complains slight infected fruit show raised scabby lesion clear leaf edge turn brown crack,Biological predators
healthy,inspection reveals visible stem appear firm upright slight fruit set appears normal healthy slight unusual wilting curling leaf,No pesticide needed
Leaf_Mold,agronomist note sudden leaf curl become brittle,Sulfur spray
Late_blight,field observation show notable lesion spread quickly cool wet weather severe large brown blotch develop rapidly leaf,Sulfur spray
Early_blight,visible plant vigor decrease time severe yellowing appears around brown lesion sporadic older leaf show symptom first,Horticultural oil
Septoria_leaf_spot,inspection reveals moderate spot remain le ⅛ inch diameter notable tiny dark speck appear pale center moderate growth appears patchy across field,Neem oil
Septoria_leaf_spot,inspection reveals notable spot remain le ⅛ inch diameter visible tiny dark speck appear pale center sporadic severe infection reduce fruit yield,Neem oil
healthy,inspection reveals notable overall growth steady balanced clear plant stand tall vigorous extensive stem remain firm robust,No pesticide needed
Early_blight,agronomist note visible leaf drop prematurely stress moderate leaf edge appear scorched curled sudden stem may show sunken brown streak,Horticultural oil
Late_blight,field observation show rapid cool moist weather promotes rapid spread,Neem oil
Late_blight,clear stem turn brown brittle severe infected area emit musty odor notable fruit rot occurs quickly infection,Neem oil
healthy,agronomist note extensive overall growth steady balanced sudden stem remain firm robust severe fruit cluster wellformed,No pesticide needed
Bacterial_spot,field observation show visible leaf edge become ragged torn,Sulfur spray
Late_blight,according grower notable white mold may appear leaf underside,Neem oil
Tomato_YellowLeaf_Curl_Virus,farmer complains visible virus spread via whitefly rapidly severe leaf edge show bright yellow coloring,Horticultural oil
Early_blight,inspection reveals slight older leaf first show symptom,Neem oil
Early_blight,extensive small dark spot develop concentric ring slight affected plant exhibit reduced tuber size,Neem oil
Septoria_leaf_spot,field observation show visible growth appears patchy across field,Neem oil
Early_blight,farmer complains visible overall growth appears stunted,Horticultural oil
Septoria_leaf_spot,farmer complains severe growth appears patchy across field slight plant look generally stressed,Neem oil
Target_Spot,farmer report severe lesion coalesce large blighted zone,Bacillus subtilis
Leaf_Mold,farmer complains rapid underside develop fuzzy white olive mold extensive fruit development may reduced moderate lesion merge large yellow area,Sulfur spray
Bacterial_spot,inspection reveals moderate plant growth becomes stunted uneven notable warm weather accelerates disease spread,Sulfur spray
Early_blight,farmer report clear plant vigor decrease time,Horticultural oil
Bacterial_spot,field observation show clear spot sometimes merge larger dead area sudden leaf develop yellow halo around spot,Biological predators
Bacterial_spot,visual check indicates visible spot sometimes merge larger dead area visible leaf edge turn brown crack notable bacterial ooze may visible moist condition,Biological predators
Early_blight,visual check indicates rapid lower leaf drop prematurely stress visible severe case cause significant leaf loss rapid brown patch coalesce larger necrotic area,Neem oil
Target_Spot,according grower sudden severe infection lead premature leaf drop notable leaf show circular irregular necrotic area,Bacillus subtilis
healthy,inspection reveals sudden overall growth steady balanced sudden fruit develop evenly blemish,No pesticide needed
Tomato_mosaic_virus,field observation show notable leaflet may become fernlike narrow clear overall plant vigor decrease sudden flower formation may reduced,Biological predators
Early_blight,farmer complains sporadic leaf edge appear scorched curled,Horticultural oil
healthy,agronomist note severe plant canopy full evenly spaced notable growth appears vigorous balanced sporadic leaf look vibrant green smooth texture,No pesticide needed
Early_blight,visual check indicates visible dark concentric ring form lower leaf slight yellowing appears around brown lesion visible leaf edge appear scorched curled,Horticultural oil
Late_blight,according grower moderate large irregular brown patch appear leaf extensive edge lesion look watersoaked,Neem oil
healthy,field observation show slight plant show sign stress pest rapid tuber development appears uniform healthy,No pesticide needed
healthy,sudden stem remain firm robust,No pesticide needed
Bacterial_spot,agronomist note visible lower leaf drop prematurely moderate leaf edge turn brown crack,Biological predators
healthy,inspection reveals slight fruit set appears normal healthy moderate stem appear firm upright moderate growth appears vigorous balanced,No pesticide needed
Target_Spot,field observation show clear spot develop yellow halo expand,Bacillus subtilis
Tomato_mosaic_virus,according grower severe virus spread easily plant contact visible fruit develop uneven ripening,Biological predators
healthy,agronomist note moderate flower appear healthy plentiful,No pesticide needed
Spider_mites_Two_spotted_spider_mite,field observation show rapid plant vigor decline noticeably visible leaf turn bronze curl rapid leaf surface feel dry rough,Sulfur spray
healthy,according grower extensive fruit develop bright color firm wall,No pesticide needed
Bacterial_spot,agronomist note sporadic infected fruit show raised scabby lesion,Biological predators
Spider_mites_Two_spotted_spider_mite,farmer complains extensive fruit development may stunted slight leaf appear stippled pale spot,Sulfur spray
Septoria_leaf_spot,according grower notable growth appears patchy across field notable severe infection reduce fruit yield,Neem oil
healthy,farmer complains sudden leaf lush green visible spot moderate growth appears vigorous steady,No pesticide needed
Bacterial_spot,agronomist note notable spot sometimes merge larger dead area,Biological predators
healthy,inspection reveals extensive sign wilting discoloration severe leaf lush green visible spot moderate leaf edge remain intact smooth,No pesticide needed
Spider_mites_Two_spotted_spider_mite,according grower notable plant vigor decline noticeably moderate infested leaf drop prematurely rapid fruit development may stunted,Sulfur spray
Early_blight,farmer report sudden dark concentric ring form lower leaf,Horticultural oil
Target_Spot,moderate fruit show dark speck near stem end slight leaf look scorched burnt edge rapid affected area appear sunken dry,Bacillus subtilis
Bacterial_spot,rapid brown streak may appear stem moderate tiny dark speck appear young leaf notable spot enlarge develop yellow halo,Sulfur spray
Early_blight,sudden plant vigor decrease time severe leaf drop prematurely stress,Horticultural oil
healthy,field observation show visible plant canopy full evenly spaced sudden unusual wilting curling leaf,No pesticide needed
Septoria_leaf_spot,visible growth appears patchy across field visible stem remain largely unaffected,Neem oil
healthy,according grower rapid tuber development appears uniform healthy,No pesticide needed
Early_blight,according grower sporadic older leaf show symptom first,Horticultural oil
Bacterial_spot,inspection reveals sudden spot sometimes merge larger dead area moderate lesion become angular watersoaked rapid leaf edge turn brown crack,Biological predators
Late_blight,severe large brown blotch develop rapidly leaf sudden blight odor noticeable severe infection sporadic infected tuber show dark firm patch beneath skin,Sulfur spray
Target_Spot,extensive lesion coalesce large blighted zone slight severe infection lead premature leaf drop,Bacillus subtilis
healthy,field observation show visible plant stand tall vigorous sporadic stem remain firm robust,No pesticide needed
Bacterial_spot,inspection reveals sporadic infected fruit appears pitted rough,Sulfur spray
Tomato_mosaic_virus,inspection reveals visible fruit show irregular color pattern notable growth appears stunted twisted,Biological predators
Tomato_YellowLeaf_Curl_Virus,field observation show notable flower often drop without fruit setting,Horticultural oil
healthy,inspection reveals clear plant appear free pest disease sudden sign curling wilting,No pesticide needed
healthy,farmer complains moderate surface remain free lesion mold,No pesticide needed
Early_blight,agronomist note rapid spot expand warm humid weather extensive fruit develop sunken leathery patch notable older leaf show symptom first,Horticultural oil
Bacterial_spot,according grower sporadic bacterial ooze may visible moist condition sporadic tiny dark spot appear young leaf,Biological predators
Early_blight,according grower visible dark concentric ring form lower leaf,Horticultural oil
Spider_mites_Two_spotted_spider_mite,field observation show severe leaf appear stippled pale spot severe infestation begin lower leaf sporadic fine yellow dust may visible foliage,Sulfur spray
Bacterial_spot,inspection reveals clear warm weather accelerates disease spread,Sulfur spray
healthy,inspection reveals visible stem firm unblemished rapid tuber development appears uniform healthy,No pesticide needed
Late_blight,farmer report rapid white mold may appear leaf underside,Neem oil
Early_blight,agronomist note sudden leaf drop prematurely stress sudden overall growth appears stunted extensive fruit develop sunken leathery patch,Horticultural oil
Septoria_leaf_spot,according grower visible plant look generally stressed,Neem oil
Early_blight,inspection reveals clear fruit develop sunken leathery patch extensive dark concentric ring form lower leaf,Horticultural oil
healthy,farmer complains clear growth appears vigorous balanced notable unusual wilting curling leaf rapid plant canopy full evenly spaced,No pesticide needed
Spider_mites_Two_spotted_spider_mite,slight leaf turn bronze curl,Sulfur spray
Target_Spot,field observation show moderate lesion coalesce large blighted zone severe leaf look scorched burnt edge clear severe infection lead premature leaf drop,Bacillus subtilis
Septoria_leaf_spot,according grower slight tiny dark speck appear pale center,Neem oil
Tomato_YellowLeaf_Curl_Virus,farmer report sporadic young leaf curl upward turn yellow visible leaf edge show bright yellow coloring,Horticultural oil
Target_Spot,inspection reveals extensive affected area appear sunken dry,Bacillus subtilis
Septoria_leaf_spot,sudden stem remain largely unaffected notable plant look generally stressed visible tiny dark speck appear pale center,Neem oil
Late_blight,inspection reveals extensive leaf become limp collapse suddenly visible white fungal growth may appear humid condition sudden infected tuber show dark firm patch beneath skin,Sulfur spray
Late_blight,field observation show severe infected tuber show dark firm patch beneath skin,Sulfur spray
Spider_mites_Two_spotted_spider_mite,visual check indicates extensive infestation begin lower leaf severe webbing may visible leaf stem,Sulfur spray
Target_Spot,field observation show visible spot prominent humid condition,Bacillus subtilis
Spider_mites_Two_spotted_spider_mite,inspection reveals sporadic plant vigor decline noticeably severe webbing may visible leaf stem,Sulfur spray
Tomato_mosaic_virus,visual check indicates rapid growth appears stunted twisted severe virus spread easily plant contact rapid overall plant vigor decrease,Biological predators
Septoria_leaf_spot,agronomist note moderate leaf become thin sparse,Neem oil
Spider_mites_Two_spotted_spider_mite,agronomist note severe leaf surface feel dry rough sudden infested leaf drop prematurely slight infestation begin lower leaf,Sulfur spray
Bacterial_spot,inspection reveals sudden warm weather accelerates disease spread visible plant growth becomes stunted uneven,Sulfur spray
Bacterial_spot,visual check indicates extensive lesion become angular watersoaked notable leaf edge turn brown crack,Biological predators
Early_blight,visual check indicates sporadic leaf yellow around brown lesion slight lesion enlarge warm humid weather,Neem oil
healthy,inspection reveals rapid plant show sign stress pest severe unusual odor detected field severe healthy foliage cover soil evenly,No pesticide needed
Septoria_leaf_spot,visual check indicates clear stem remain largely unaffected rapid leaf become thin sparse visible plant look generally stressed,Neem oil
Septoria_leaf_spot,field observation show notable lower leaf drop early season severe tiny dark speck appear pale center severe spot remain le ⅛ inch diameter,Neem oil
Tomato_YellowLeaf_Curl_Virus,according grower extensive internode shorten dramatically slight virus spread via whitefly rapidly sporadic overall plant appears dwarfed,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,farmer complains notable fruit production decrease sharply visible young leaf curl upward turn yellow slight overall plant appears dwarfed,Horticultural oil
healthy,agronomist note visible tuber development appears uniform healthy,No pesticide needed
Target_Spot,according grower moderate lesion coalesce large blighted zone sudden leaf show circular irregular necrotic area sudden fruit show dark speck near stem end,Bacillus subtilis
Target_Spot,field observation show sudden fruit show dark speck near stem end,Bacillus subtilis
Leaf_Mold,farmer report slight underside develop fuzzy white olive mold moderate fruit development may reduced sporadic edge leaf become brown dry,Sulfur spray
Early_blight,moderate dark concentric ring form lower leaf,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,sudden internode shorten dramatically,Horticultural oil
healthy,inspection reveals extensive leaf edge remain intact smooth extensive stem firm unblemished moderate plant maintain strong upright growth,No pesticide needed
Late_blight,visible infected tuber show dark firm patch beneath skin moderate stem show brown streak near soil level,Sulfur spray
Bacterial_spot,visual check indicates sporadic warm wet weather increase disease spread slight spot sometimes merge larger dead area,Biological predators
Target_Spot,visual check indicates sudden affected area appear sunken dry clear lesion coalesce large blighted zone clear small dark lesion appear lower leaf,Bacillus subtilis
Early_blight,field observation show clear older leaf show symptom first slight stem may show sunken brown streak notable overall growth appears stunted,Horticultural oil
Septoria_leaf_spot,visual check indicates sporadic leaf become thin sparse rapid tiny dark speck appear pale center,Neem oil
Tomato_YellowLeaf_Curl_Virus,farmer complains notable virus spread via whitefly rapidly moderate fruit production decrease sharply rapid young leaf curl upward turn yellow,Horticultural oil
Early_blight,visible plant vigor decrease time severe spot expand warm humid weather,Horticultural oil
Bacterial_spot,agronomist note notable leaf edge turn brown crack extensive lesion become angular watersoaked,Biological predators
Early_blight,according grower sporadic spot expand warm humid weather,Horticultural oil
Septoria_leaf_spot,agronomist note moderate stem remain largely unaffected visible spot increase rapidly wet condition,Neem oil
Septoria_leaf_spot,agronomist note sudden lower leaf drop early season,Neem oil
healthy,farmer report extensive spot discoloration leaf rapid sign curling wilting,No pesticide needed
